           lat        lon                    name  value
0   133.775136 -25.274398               Australia     38
1    14.550072  47.516231                 Austria     10
2    90.356331  23.684994              Bangladesh      6
3    27.953389  53.709807                 Belarus      2
4     4.469936  50.503887                 Belgium     16
5   -51.925280 -14.235004                  Brazil     30
6    25.485830  42.733883                Bulgaria     32
7  -106.346771  56.130366                  Canada     90
8   -71.542969 -35.675147                   Chile     16
9   104.195397  35.861660                   China     22
10  -74.297333   4.570868                Colombia      6
11  -83.753428   9.748917              Costa Rica      4
12   -5.547080   7.539989               C dIvoire      2
13   15.200000  45.100000                 Croatia      2
14   15.472962  49.817492          Czech Republic     38
15  -78.183406  -1.831239                 Ecuador      2
16   30.802498  26.820553                   Egypt      6
17  -88.896530  13.794185             El Salvador      2
18   25.013607  58.595272                 Estonia      8
19   25.748151  61.924110                 Finland      8
20    2.213749  46.227638                  France    194
21   10.451526  51.165691                 Germany    346
22   21.824312  39.074208                  Greece     10
23  -90.230759  15.783471               Guatemala      2
24  -86.241905  15.199999                Honduras      2
25  114.109497  22.396428               Hong Kong     22
26   19.503304  47.162494                 Hungary     26
27   78.962880  20.593684                   India     44
28  113.921327  -0.789275               Indonesia     14
29   53.688046  32.427908                    Iran      2
30   -8.243890  53.412910                 Ireland     14
31   34.851612  31.046051                  Israel      8
32   12.567380  41.871940                   Italy     46
33  138.252924  36.204824                   Japan     26
34   66.923684  48.019573              Kazakhstan     10
35   37.906193  -0.023559                   Kenya      2
36  127.766922  35.907757       Republic of Korea     10
37   47.481766  29.311660                  Kuwait      2
38   24.603189  56.879635                  Latvia      4
39  -95.677068  37.062500  Libyan Arab Jamahiriya      2
40   23.881275  55.169438               Lithuania     14
41  101.975766   4.210484                Malaysia      4
42   -3.996166  17.570692                    Mali      4
43   57.552152 -20.348404               Mauritius      4
44 -102.552784  23.634501                  Mexico     10
45   28.369885  47.411631                   Moldo      2
46   -7.092620  31.791702                 Morocco      2
47   84.124008  28.394857                   Nepal      2
48    5.291266  52.132633             Netherlands     80
49  174.885971 -40.900557             New Zealand     14
50    8.468946  60.472024                  Norway      8
51   69.345116  30.375321                Pakistan      4
52  -80.782127   8.537981                  Panama      2
53  -75.015152  -9.189967                    Peru      2
54   19.145136  51.919438                  Poland     34
55   -8.224454  39.399872                Portugal      6
56  -66.590149  18.220833             Puerto Rico      2
57   24.966760  45.943161                 Romania     20
58  105.318756  61.524010      Russian Federation    106
59   45.079162  23.885942            Saudi Arabia      2
60   21.005859  44.016521                  Serbia      4
61   55.491977  -4.679574              Seychelles      2
62  103.819836   1.352083               Singapore     20
63   19.699024  48.669026                Slovakia      4
64   14.995463  46.151241                Slovenia      2
65   22.937506 -30.559482            South Africa     28
66   -3.749220  40.463667                   Spain     32
67   18.643501  60.128161                  Sweden     20
68    8.227512  46.818188             Switzerland     10
69  120.960515  23.697810                  Taiwan     16
70  100.992541  15.870032                Thailand     56
71   35.243322  38.963745                  Turkey     22
72   31.165580  48.379433                 Ukraine     30
73   53.847818  23.424076    United Arab Emirates      4
74   -3.435973  55.378051          United Kingdom    154
75  -95.712891  37.090240           United States    650
76   64.585262  41.377491              Uzbekistan      2
77  108.277199  14.058324                 VietNam     14
